2023-10-12 00:03:48.172 [XNIO-1 task-2] WARN  o.s.w.s.mvc.support.DefaultHandlerExceptionResolver.logException:207 - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content-Type 'application/x-www-form-urlencoded;charset=UTF-8' is not supported]
2023-10-12 16:57:13.658 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:01:43.264 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:01:43.266 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:01:43.988 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:01:47.254 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:01:54.252 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:01:54.253 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:01:54.945 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:01:57.831 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:03:10.438 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:03:10.440 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:03:11.164 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:03:14.374 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:06:13.900 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:06:13.902 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:06:14.887 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:06:17.927 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:13:29.292 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:13:29.294 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:13:30.113 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:13:33.218 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:15:29.280 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:15:29.282 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:15:29.936 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:15:32.767 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:16:57.909 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:16:57.911 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:16:58.602 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:17:01.490 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:17:29.693 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:17:29.694 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:17:30.485 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:17:33.745 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:20:21.937 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:20:21.938 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:20:22.620 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:20:25.465 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:21:59.731 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:21:59.733 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:22:00.469 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:22:03.278 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 17:23:14.006 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:23:14.007 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 17:23:14.696 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 17:23:17.847 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 22:42:57.383 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 22:42:57.385 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 22:42:58.159 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 22:43:02.147 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
