2023-11-14 00:29:05.280 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-14T00:29:05.280011400
2023-11-14 00:29:05.324 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"查询成功","payload":[{"createtime":"2023-11-07 14:13:34","id":19,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_table","tablename":"表信息表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 14:13:34","updateusername":null},{"createtime":"2023-11-07 14:31:03","id":20,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_field","tablename":"字段信息表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 14:31:03","updateusername":null},{"createtime":"2023-11-07 15:16:31","id":21,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_outkey","tablename":"外键配置表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:16:31","updateusername":null},{"createtime":"2023-11-07 15:33:58","id":22,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_user","tablename":"用户表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:33:58","updateusername":null},{"createtime":"2023-11-07 15:34:53","id":23,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_role","tablename":"角色表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:34:53","updateusername":null},{"createtime":"2023-11-07 15:37:59","id":24,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_user_role","tablename":"用户角色关联表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:37:59","updateusername":null},{"createtime":"2023-11-07 19:19:39","id":28,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_department","tablename":"部门信息表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 19:19:39","updateusername":null},{"createtime":"2023-11-07 21:36:02","id":29,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_user_department","tablename":"用户部门关联表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 21:36:02","updateusername":null},{"createtime":"2023-11-13 22:41:05","id":30,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"test","tablename":"测试表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-13 22:41:05","updateusername":null},{"createtime":"2023-11-13 23:05:26","id":31,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"testdetail","tablename":"测试明细表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-13 23:05:26","updateusername":null}]}
2023-11-14 00:29:06.659 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-14T00:29:06.659446200
2023-11-14 00:29:06.659 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selField
2023-11-14 00:29:06.660 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-14 00:29:06.660 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-14 00:29:06.660 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-14 00:29:06.661 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"id":0,"ownerid":0,"tabledocno":"test","tableid":0,"updateid":0}]
2023-11-14 00:29:06.661 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-14 00:29:06.661 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-14 00:29:06.662 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-14 00:29:06.667 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-14T00:29:06.667773500
2023-11-14 00:29:06.668 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-14 00:29:06.668 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"查询成功","payload":[{"createtime":"2023-11-13 22:41:05","decimals":0,"defaults":"","fielddocno":"id","fieldname":"id","id":136,"increment":"Y","isdelete":null,"length":0,"notNull":"Y","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"Y","remark":"","sort":null,"tabledocno":"test","tableid":30,"type":"int","updateid":0,"updatename":null,"updatetime":"2023-11-13 22:41:05","updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":"2023-11-13 22:41:05","decimals":0,"defaults":"","fielddocno":"testdocno","fieldname":"测试单号","id":137,"increment":"N","isdelete":null,"length":0,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":"","sort":null,"tabledocno":"test","tableid":30,"type":"varchar","updateid":0,"updatename":null,"updatetime":"2023-11-13 22:41:05","updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":"2023-11-13 22:41:05","decimals":0,"defaults":"","fielddocno":"test001","fieldname":"测试日期","id":138,"increment":"N","isdelete":null,"length":0,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":"","sort":null,"tabledocno":"test","tableid":30,"type":"date","updateid":0,"updatename":null,"updatetime":"2023-11-13 22:41:05","updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":null,"decimals":0,"defaults":null,"fielddocno":"ownerid","fieldname":"所有者","id":139,"increment":"N","isdelete":0,"length":0,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":null,"sort":null,"tabledocno":"test","tableid":30,"type":"int","updateid":0,"updatename":null,"updatetime":null,"updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":null,"decimals":0,"defaults":null,"fielddocno":"ownerusername","fieldname":"所有者用户名","id":140,"increment":"N","isdelete":0,"length":255,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":null,"sort":null,"tabledocno":"test","tableid":30,"type":"varchar","updateid":0,"updatename":null,"updatetime":null,"updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":null,"decimals":0,"defaults":null,"fielddocno":"ownername","fieldname":"所有者姓名","id":141,"increment":"N","isdelete":0,"length":255,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":null,"sort":null,"tabledocno":"test","tableid":30,"type":"varchar","updateid":0,"updatename":null,"updatetime":null,"updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":null,"decimals":0,"defaults":null,"fielddocno":"createtime","fieldname":"创建时间","id":142,"increment":"N","isdelete":0,"length":0,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":null,"sort":null,"tabledocno":"test","tableid":30,"type":"datetime","updateid":0,"updatename":null,"updatetime":null,"updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":null,"decimals":0,"defaults":null,"fielddocno":"updateid","fieldname":"最后修改者","id":143,"increment":"N","isdelete":0,"length":0,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":null,"sort":null,"tabledocno":"test","tableid":30,"type":"int","updateid":0,"updatename":null,"updatetime":null,"updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":null,"decimals":0,"defaults":null,"fielddocno":"updateusername","fieldname":"最后修改者用户名","id":144,"increment":"N","isdelete":0,"length":255,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":null,"sort":null,"tabledocno":"test","tableid":30,"type":"varchar","updateid":0,"updatename":null,"updatetime":null,"updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":null,"decimals":0,"defaults":null,"fielddocno":"updatename","fieldname":"最后修改者姓名","id":145,"increment":"N","isdelete":0,"length":255,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":null,"sort":null,"tabledocno":"test","tableid":30,"type":"varchar","updateid":0,"updatename":null,"updatetime":null,"updateusername":null,"verify":null,"widget":null,"widgetLayout":null},{"createtime":null,"decimals":0,"defaults":null,"fielddocno":"updatetime","fieldname":"最后修改时间","id":146,"increment":"N","isdelete":0,"length":0,"notNull":"N","ownerid":0,"ownername":null,"ownerusername":null,"primaryKey":"N","remark":null,"sort":null,"tabledocno":"test","tableid":30,"type":"datetime","updateid":0,"updatename":null,"updatetime":null,"updateusername":null,"verify":null,"widget":null,"widgetLayout":null}]}
2023-11-14 00:29:06.996 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-14T00:29:06.996321100
2023-11-14 00:29:06.997 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selTable
2023-11-14 00:29:06.998 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-14 00:29:06.998 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-14 00:29:06.999 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-14 00:29:07.000 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"ownerid":0,"updateid":0}]
2023-11-14 00:29:07.001 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-14 00:29:07.002 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-14 00:29:07.003 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-14 00:29:07.010 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-14T00:29:07.010325300
2023-11-14 00:29:07.011 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-14 00:29:07.011 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"查询成功","payload":[{"createtime":"2023-11-07 14:13:34","id":19,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_table","tablename":"表信息表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 14:13:34","updateusername":null},{"createtime":"2023-11-07 14:31:03","id":20,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_field","tablename":"字段信息表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 14:31:03","updateusername":null},{"createtime":"2023-11-07 15:16:31","id":21,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_outkey","tablename":"外键配置表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:16:31","updateusername":null},{"createtime":"2023-11-07 15:33:58","id":22,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_user","tablename":"用户表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:33:58","updateusername":null},{"createtime":"2023-11-07 15:34:53","id":23,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_role","tablename":"角色表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:34:53","updateusername":null},{"createtime":"2023-11-07 15:37:59","id":24,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_user_role","tablename":"用户角色关联表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:37:59","updateusername":null},{"createtime":"2023-11-07 19:19:39","id":28,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_department","tablename":"部门信息表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 19:19:39","updateusername":null},{"createtime":"2023-11-07 21:36:02","id":29,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_user_department","tablename":"用户部门关联表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 21:36:02","updateusername":null},{"createtime":"2023-11-13 22:41:05","id":30,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"test","tablename":"测试表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-13 22:41:05","updateusername":null},{"createtime":"2023-11-13 23:05:26","id":31,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"testdetail","tablename":"测试明细表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-13 23:05:26","updateusername":null}]}
2023-11-14 00:29:07.120 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-14T00:29:07.120239800
2023-11-14 00:29:07.120 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selOutkey
2023-11-14 00:29:07.121 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-14 00:29:07.121 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-14 00:29:07.121 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-14 00:29:07.121 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"ownerid":0,"tabledocno":"test","updateid":0}]
2023-11-14 00:29:07.122 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-14 00:29:07.122 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-14 00:29:07.122 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-14 00:29:07.124 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-14T00:29:07.124215900
2023-11-14 00:29:07.125 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-14 00:29:07.125 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"查询成功","payload":[]}
2023-11-14 00:29:08.566 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-14T00:29:08.566958100
2023-11-14 00:29:08.566 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-14 00:29:08.567 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-14 00:29:08.567 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-14 00:29:08.567 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-14 00:29:08.570 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-14T00:29:08.570864600
2023-11-14 00:29:08.571 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-14 00:29:08.571 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-14T00:29:08.571861500
2023-11-14 00:29:08.571 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-14 00:29:08.572 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"查询成功","payload":[{"createtime":"2023-11-07 14:13:34","id":19,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_table","tablename":"表信息表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 14:13:34","updateusername":null},{"createtime":"2023-11-07 14:31:03","id":20,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_field","tablename":"字段信息表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 14:31:03","updateusername":null},{"createtime":"2023-11-07 15:16:31","id":21,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_outkey","tablename":"外键配置表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:16:31","updateusername":null},{"createtime":"2023-11-07 15:33:58","id":22,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_user","tablename":"用户表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:33:58","updateusername":null},{"createtime":"2023-11-07 15:34:53","id":23,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_role","tablename":"角色表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:34:53","updateusername":null},{"createtime":"2023-11-07 15:37:59","id":24,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_user_role","tablename":"用户角色关联表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 15:37:59","updateusername":null},{"createtime":"2023-11-07 19:19:39","id":28,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_department","tablename":"部门信息表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 19:19:39","updateusername":null},{"createtime":"2023-11-07 21:36:02","id":29,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"t_user_department","tablename":"用户部门关联表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-07 21:36:02","updateusername":null},{"createtime":"2023-11-13 22:41:05","id":30,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"test","tablename":"测试表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-13 22:41:05","updateusername":null},{"createtime":"2023-11-13 23:05:26","id":31,"ownerid":0,"ownername":null,"ownerusername":null,"parentid":0,"remark":"","sql":null,"sqlview":null,"tabledocno":"testdetail","tablename":"测试明细表","type":"1","updateid":0,"updatename":null,"updatetime":"2023-11-13 23:05:26","updateusername":null}]}
2023-11-14 00:29:08.819 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-14T00:29:08.819206900
2023-11-14 00:29:08.820 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selOutkey
2023-11-14 00:29:08.820 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-14 00:29:08.820 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-14 00:29:08.821 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-14 00:29:08.821 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"ownerid":0,"tabledocno":"testdetail","updateid":0}]
2023-11-14 00:29:08.821 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-14 00:29:08.821 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-14 00:29:08.822 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-14 00:29:08.824 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-14T00:29:08.824189200
2023-11-14 00:29:08.825 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-14 00:29:08.825 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"查询成功","payload":[{"createtime":null,"field":"testid","id":36,"outField":"id","outTabledocno":"test","ownerid":0,"ownername":null,"ownerusername":null,"tabledocno":"testdetail","updateid":0,"updatename":null,"updatetime":null,"updateusername":null}]}
2023-11-14 00:29:10.258 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-14T00:29:10.258160400
2023-11-14 00:29:10.258 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selField
2023-11-14 00:29:10.258 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-14 00:29:10.258 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-14 00:29:10.258 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-14 00:29:10.259 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"id":0,"ownerid":0,"tabledocno":"testdetail","tableid":0,"updateid":0}]
2023-11-14 00:29:10.259 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-14 00:29:10.259 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-14 00:29:10.259 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-14 00:29:10.263 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-14T00:29:10.263868300
2023-11-14 00:29:10.263 [XNIO-1 task-3] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
